ClaveFecha;Año;NúmeroMes;Mes;Trimestre;AñoTrimestre;AñoMes;NúmeroDíaSemana;DíaSemana;NúmeroDíaMes;EsFinDeSemana;NúmeroSemana
10/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;7;domingo;10;VERDADERO;37
11/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;1;lunes;11;FALSO;37
12/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;2;martes;12;FALSO;37
13/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;3;miércoles;13;FALSO;37
14/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;4;jueves;14;FALSO;37
15/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;5;viernes;15;FALSO;37
16/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;6;sábado;16;VERDADERO;37
17/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;7;domingo;17;VERDADERO;38
18/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;1;lunes;18;FALSO;38
19/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;2;martes;19;FALSO;38
20/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;3;miércoles;20;FALSO;38
21/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;4;jueves;21;FALSO;38
22/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;5;viernes;22;FALSO;38
23/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;6;sábado;23;VERDADERO;38
24/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;7;domingo;24;VERDADERO;39
25/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;1;lunes;25;FALSO;39
26/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;2;martes;26;FALSO;39
27/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;3;miércoles;27;FALSO;39
28/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;4;jueves;28;FALSO;39
29/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;5;viernes;29;FALSO;39
30/09/2023;2023;9;septiembre;T3;2023-T3;2023-09;6;sábado;30;VERDADERO;39
1/10/2023;2023;10;octubre;T4;2023-T4;2023-10;7;domingo;1;VERDADERO;40
2/10/2023;2023;10;octubre;T4;2023-T4;2023-10;1;lunes;2;FALSO;40
3/10/2023;2023;10;octubre;T4;2023-T4;2023-10;2;martes;3;FALSO;40
4/10/2023;2023;10;octubre;T4;2023-T4;2023-10;3;miércoles;4;FALSO;40
5/10/2023;2023;10;octubre;T4;2023-T4;2023-10;4;jueves;5;FALSO;40
6/10/2023;2023;10;octubre;T4;2023-T4;2023-10;5;viernes;6;FALSO;40
7/10/2023;2023;10;octubre;T4;2023-T4;2023-10;6;sábado;7;VERDADERO;40
8/10/2023;2023;10;octubre;T4;2023-T4;2023-10;7;domingo;8;VERDADERO;41
9/10/2023;2023;10;octubre;T4;2023-T4;2023-10;1;lunes;9;FALSO;41
10/10/2023;2023;10;octubre;T4;2023-T4;2023-10;2;martes;10;FALSO;41
11/10/2023;2023;10;octubre;T4;2023-T4;2023-10;3;miércoles;11;FALSO;41
12/10/2023;2023;10;octubre;T4;2023-T4;2023-10;4;jueves;12;FALSO;41
13/10/2023;2023;10;octubre;T4;2023-T4;2023-10;5;viernes;13;FALSO;41
14/10/2023;2023;10;octubre;T4;2023-T4;2023-10;6;sábado;14;VERDADERO;41
