IDTransacción;ClaveFecha;IDCliente;IDProducto;IDTienda;Cantidad;Descuento;MetodoPago
T00001;18/06/2024;C160;P014;S003;1;0.1;Bank Transfer
T00002;2/11/2023;C171;P030;S004;3;0.15;Bank Transfer
T00003;28/03/2024;C142;P002;S002;2;0.15;Mobile Money
T00004;15/06/2024;C174;P050;S002;5;0.1;Mobile Money
T00005;29/08/2024;C141;P036;S001;3;0.1;Credit Card
T00006;28/03/2025;C111;P036;S005;5;0.1;Mobile Money
T00007;9/11/2024;C114;P009;S004;2;0.15;Credit Card
T00008;28/05/2024;C169;P005;S001;3;0.1;Cash
T00009;4/09/2024;C193;P035;S002;3;0.05;Credit Card
T00010;16/06/2024;C038;P045;S001;1;0.05;Mobile Money
T00011;9/03/2025;C157;P022;S001;4;0.15;Credit Card
T00012;6/06/2024;C184;P042;S004;4;0.15;Credit Card
T00013;2/10/2023;C038;P048;S001;1;0.15;Credit Card
T00014;28/10/2024;C046;P034;S005;4;0;Credit Card
T00015;23/03/2025;C032;P016;S004;2;0.15;Bank Transfer
T00016;14/12/2023;C194;P024;S004;5;0.15;Mobile Money
T00017;24/12/2024;C041;P026;S004;4;0.1;Credit Card
T00018;30/05/2025;C164;P033;S003;5;0.15;Credit Card
T00019;21/04/2025;C071;P011;S004;1;0.1;Credit Card
T00020;7/01/2025;C070;P007;S003;3;0;Credit Card
T00021;16/11/2024;C039;P018;S002;4;0.05;Credit Card
T00022;26/11/2024;C017;P022;S004;4;0.1;Mobile Money
T00023;2/08/2024;C107;P023;S001;2;0.15;Mobile Money
T00024;30/03/2025;C198;P013;S005;1;0.15;Mobile Money
T00025;2/06/2024;C002;P039;S003;3;0.15;Mobile Money
T00026;26/10/2024;C138;P021;S005;5;0.05;Mobile Money
T00027;23/01/2024;C057;P039;S003;4;0.15;Cash
T00028;15/12/2024;C100;P020;S003;4;0.05;Mobile Money
T00029;9/04/2025;C033;P013;S005;5;0;Mobile Money
T00030;26/02/2025;C152;P028;S005;1;0;Mobile Money
T00031;16/12/2024;C035;P019;S004;2;0;Bank Transfer
T00032;16/01/2025;C098;P028;S003;2;0.15;Bank Transfer
T00033;20/07/2025;C087;P021;S004;3;0.15;Bank Transfer
T00034;13/11/2023;C021;P037;S004;1;0;Bank Transfer
T00035;16/02/2024;C058;P047;S001;1;0;Credit Card
T00036;3/06/2025;C052;P049;S001;5;0.05;Credit Card
T00037;17/01/2024;C033;P030;S004;1;0.05;Mobile Money
T00038;6/05/2025;C180;P041;S003;3;0.05;Cash
T00039;13/10/2024;C200;P001;S002;3;0;Cash
T00040;2/08/2024;C080;P011;S005;4;0.15;Credit Card
T00041;20/12/2023;C020;P044;S005;2;0;Bank Transfer
T00042;3/06/2024;C176;P025;S005;1;0;Bank Transfer
T00043;30/10/2024;C137;P011;S004;3;0;Bank Transfer
T00044;31/12/2024;C004;P033;S004;4;0;Mobile Money
T00045;30/09/2024;C093;P045;S004;2;0.15;Credit Card
T00046;27/11/2023;C188;P027;S005;3;0.15;Mobile Money
T00047;6/05/2025;C112;P045;S005;3;0.1;Credit Card
T00048;25/01/2025;C023;P011;S003;4;0.05;Mobile Money
T00049;9/08/2025;C146;P013;S005;4;0.1;Cash
T00050;14/08/2025;C127;P007;S003;2;0.15;Credit Card
T00051;25/09/2024;C091;P026;S003;3;0.1;Bank Transfer
T00052;9/05/2025;C143;P022;S001;5;0.05;Cash
T00053;30/09/2024;C062;P047;S004;4;0.05;Mobile Money
T00054;29/01/2024;C166;P001;S004;4;0;Cash
T00055;27/06/2024;C076;P009;S002;4;0.05;Bank Transfer
T00056;19/08/2025;C170;P028;S005;3;0.15;Bank Transfer
T00057;11/10/2024;C109;P011;S005;3;0.1;Mobile Money
T00058;20/01/2024;C070;P034;S003;3;0.05;Cash
T00059;14/02/2025;C185;P027;S002;3;0;Credit Card
T00060;26/11/2024;C050;P044;S002;4;0.1;Bank Transfer
T00061;20/03/2025;C026;P006;S002;3;0.05;Bank Transfer
T00062;3/05/2025;C046;P027;S003;1;0.05;Bank Transfer
T00063;1/06/2024;C012;P036;S001;5;0.1;Credit Card
